,tfl_id,bikes,spaces,timestamp
34760,61,12,11,07/02/2017 13:34
25545,55,11,16,07/02/2017 13:48
46010,60,12,12,07/02/2017 14:00
29067,105,6,17,07/02/2017 14:06
19790,129,14,10,07/02/2017 14:10
58675,24,8,4,07/02/2017 14:18
7957,6,14,11,07/02/2017 14:20
9922,36,11,6,07/02/2017 14:22
41540,162,9,15,07/02/2017 14:32
73138,160,4,19,07/02/2017 14:38
22825,117,8,15,07/02/2017 14:40
77777,85,9,18,07/02/2017 14:42
10788,107,9,12,07/02/2017 14:44
66368,86,9,15,07/02/2017 14:44
32371,48,7,14,07/02/2017 14:52
28711,55,11,16,07/02/2017 14:56
49233,143,10,12,07/02/2017 14:56
18497,124,9,14,07/02/2017 14:58
67926,161,11,13,07/02/2017 15:04
8825,118,15,9,07/02/2017 15:08
68071,56,10,13,07/02/2017 15:08
39250,29,10,14,07/02/2017 15:10
45128,111,7,11,07/02/2017 15:10
94974,146,7,17,07/02/2017 15:18
20158,166,6,14,07/02/2017 15:20
74596,74,8,16,07/02/2017 15:22
67482,6,14,11,07/02/2017 15:26
28507,106,5,17,07/02/2017 15:28
70232,8,11,10,07/02/2017 15:28
24587,10,5,17,07/02/2017 15:30
74787,8,11,10,07/02/2017 15:30
2797,88,5,19,07/02/2017 15:42
41475,88,5,19,07/02/2017 15:44
42326,59,3,18,07/02/2017 15:48
50332,157,12,10,07/02/2017 15:58
96045,110,12,9,07/02/2017 16:00
13898,153,8,12,07/02/2017 16:18
38183,100,9,15,07/02/2017 16:18
51632,85,12,15,07/02/2017 16:24
83469,22,6,13,07/02/2017 16:24
77131,149,10,14,07/02/2017 16:40
46665,142,10,14,07/02/2017 16:42
65955,168,10,14,07/02/2017 16:56
63876,38,2,21,07/02/2017 17:06
85856,47,1,23,07/02/2017 17:06
44671,174,1,23,07/02/2017 17:12
84118,75,8,15,07/02/2017 17:12
26587,111,5,13,07/02/2017 17:14
45781,55,5,22,07/02/2017 17:22
72581,45,4,17,07/02/2017 17:24
95248,97,11,12,07/02/2017 17:28
17334,146,11,13,07/02/2017 17:42
58176,107,11,12,07/02/2017 17:42
42591,172,9,14,07/02/2017 17:44
36037,43,14,12,07/02/2017 17:50
60523,142,11,13,07/02/2017 17:58
26932,158,15,7,07/02/2017 18:02
63089,57,14,10,07/02/2017 18:04
15520,81,11,10,07/02/2017 18:16
38658,75,15,8,07/02/2017 18:18
68950,145,7,17,07/02/2017 18:28
17169,36,13,4,07/02/2017 18:36
74636,158,18,4,07/02/2017 18:36
90487,168,11,13,07/02/2017 18:42
54384,109,8,11,07/02/2017 18:50
80761,92,10,13,07/02/2017 18:56
18878,152,2,19,07/02/2017 19:00
88756,161,14,10,07/02/2017 19:00
94881,43,16,9,07/02/2017 19:00
39970,45,16,4,07/02/2017 19:02
62955,54,4,19,07/02/2017 19:06
63174,100,5,17,07/02/2017 19:08
74651,77,13,10,07/02/2017 19:08
42656,26,7,16,07/02/2017 19:10
68429,43,19,6,07/02/2017 19:14
27943,144,11,13,07/02/2017 19:28
87293,1,8,16,07/02/2017 19:32
18905,151,8,16,07/02/2017 19:34
87814,96,3,21,07/02/2017 19:36
39374,126,9,14,07/02/2017 19:48
27123,32,3,19,07/02/2017 19:52
60201,91,0,21,07/02/2017 19:54
2290,159,1,19,07/02/2017 20:00
30690,164,10,14,07/02/2017 20:14
1592,80,10,13,07/02/2017 20:16
16544,24,7,4,07/02/2017 20:18
46442,121,13,9,07/02/2017 20:50
17934,74,8,16,07/02/2017 21:04
28424,100,5,17,07/02/2017 21:08
42577,43,19,4,07/02/2017 21:08
45284,140,13,11,07/02/2017 21:14
57872,128,19,5,07/02/2017 21:14
25647,139,18,5,07/02/2017 21:18
17019,116,0,24,07/02/2017 21:24
75837,65,9,15,07/02/2017 21:32
9397,23,4,19,07/02/2017 21:44
57319,144,8,16,07/02/2017 21:48
24070,53,7,16,07/02/2017 22:00
42868,93,11,13,07/02/2017 22:02
66030,76,2,22,07/02/2017 22:02
80204,92,10,14,07/02/2017 22:04
37681,80,13,9,07/02/2017 22:12
45126,47,5,19,07/02/2017 22:16
21100,96,2,22,07/02/2017 22:20
47033,137,11,13,07/02/2017 22:20
9121,126,10,13,07/02/2017 22:28
20319,110,6,18,07/02/2017 22:34
82562,12,12,11,07/02/2017 22:34
27929,54,8,15,07/02/2017 22:38
10039,136,14,10,07/02/2017 22:44
77006,171,4,19,07/02/2017 22:50
25507,116,0,24,07/02/2017 22:58
14305,154,0,24,07/02/2017 23:06
46663,161,6,18,07/02/2017 23:12
69830,151,10,14,07/02/2017 23:14
67414,18,16,5,07/02/2017 23:16
6004,85,12,15,07/02/2017 23:20
81835,157,6,18,07/02/2017 23:22
81863,122,10,14,07/02/2017 23:26
4658,112,3,15,07/02/2017 23:28
24786,143,3,21,07/02/2017 23:28
33110,75,21,1,07/02/2017 23:28
46515,32,9,15,07/02/2017 23:46
3820,167,11,13,07/02/2017 23:48
80188,16,12,9,07/02/2017 23:52
10234,84,12,11,07/02/2017 23:56
32447,95,6,18,07/02/2017 23:56
18010,127,1,23,08/02/2017 00:02
72487,24,5,7,08/02/2017 00:10
15718,23,0,23,08/02/2017 00:12
41277,4,10,8,08/02/2017 00:12
34809,173,10,13,08/02/2017 00:14
89031,31,3,18,08/02/2017 00:16
7928,10,13,11,08/02/2017 00:20
3093,167,10,14,08/02/2017 00:28
68624,52,3,20,08/02/2017 00:28
81062,67,13,11,08/02/2017 00:42
97303,7,17,6,08/02/2017 01:10
5862,18,12,10,08/02/2017 01:12
18088,84,11,12,08/02/2017 01:12
71786,139,16,8,08/02/2017 01:14
92254,133,16,8,08/02/2017 01:28
80190,110,6,18,08/02/2017 01:40
76895,17,7,10,08/02/2017 01:46
94568,160,10,13,08/02/2017 01:46
5197,89,14,10,08/02/2017 01:52
68017,135,14,10,08/02/2017 02:20
15422,88,12,12,08/02/2017 02:24
44764,55,13,14,08/02/2017 02:30
70105,50,11,13,08/02/2017 02:36
29076,94,7,16,08/02/2017 02:54
18019,48,14,6,08/02/2017 03:00
3539,129,13,8,08/02/2017 03:02
54837,64,6,18,08/02/2017 03:06
8929,101,9,18,08/02/2017 03:08
62371,141,4,19,08/02/2017 03:26
91898,111,4,14,08/02/2017 03:26
95014,111,4,14,08/02/2017 03:32
1790,78,11,13,08/02/2017 03:46
39125,112,2,16,08/02/2017 03:46
88362,152,9,13,08/02/2017 03:52
9258,13,11,11,08/02/2017 03:56
67929,19,6,18,08/02/2017 03:58
55674,71,3,19,08/02/2017 04:00
68629,135,15,9,08/02/2017 04:04
51360,22,2,17,08/02/2017 04:08
30669,118,11,11,08/02/2017 04:10
872,92,5,19,08/02/2017 04:12
47602,117,8,16,08/02/2017 04:14
70156,171,12,12,08/02/2017 04:20
91765,102,11,15,08/02/2017 04:20
92720,87,14,10,08/02/2017 04:20
55640,141,4,19,08/02/2017 04:22
66896,93,5,19,08/02/2017 04:26
39602,135,16,8,08/02/2017 04:28
41268,79,16,8,08/02/2017 04:32
2501,142,15,9,08/02/2017 04:46
53143,64,6,18,08/02/2017 04:56
91476,63,4,15,08/02/2017 04:56
78799,71,3,19,08/02/2017 05:04
80553,85,12,15,08/02/2017 05:14
78035,88,12,12,08/02/2017 05:20
87917,125,12,11,08/02/2017 05:24
21103,147,12,12,08/02/2017 05:32
64556,137,12,12,08/02/2017 05:32
10395,53,12,11,08/02/2017 05:36
24787,59,7,13,08/02/2017 05:36
26577,16,10,11,08/02/2017 05:50
63959,158,8,15,08/02/2017 05:54
62881,24,4,7,08/02/2017 06:02
65269,102,11,15,08/02/2017 06:02
78928,150,7,14,08/02/2017 06:10
53027,27,10,14,08/02/2017 06:14
39587,60,13,11,08/02/2017 06:22
71391,67,12,12,08/02/2017 06:22
64948,126,12,11,08/02/2017 06:24
92826,97,4,20,08/02/2017 06:24
96398,41,12,12,08/02/2017 06:24
53069,69,5,19,08/02/2017 06:40
32680,125,12,11,08/02/2017 06:44
31484,27,11,13,08/02/2017 06:48
25892,51,12,11,08/02/2017 06:58
98655,79,8,16,08/02/2017 07:08
56135,86,13,11,08/02/2017 07:12
88084,18,12,10,08/02/2017 07:14
79278,50,11,11,08/02/2017 07:40
35508,174,11,13,08/02/2017 07:46
67420,115,5,19,08/02/2017 08:06
31699,154,14,10,08/02/2017 08:08
17252,121,14,9,08/02/2017 08:10
42252,98,9,15,08/02/2017 08:12
65675,150,8,13,08/02/2017 08:18
68713,115,8,16,08/02/2017 08:32
98563,147,9,13,08/02/2017 08:34
89962,44,7,16,08/02/2017 08:36
57390,48,2,16,08/02/2017 08:42
82381,12,11,13,08/02/2017 08:46
22446,32,17,5,08/02/2017 08:48
29431,118,9,14,08/02/2017 09:12
84871,72,16,4,08/02/2017 09:28
90290,61,11,12,08/02/2017 09:40
18414,43,1,25,08/02/2017 09:44
73680,49,7,12,08/02/2017 09:52
29193,93,14,10,08/02/2017 10:12
64302,168,4,19,08/02/2017 10:16
2698,165,11,1,08/02/2017 10:28
17637,130,5,18,08/02/2017 10:40
18190,113,16,8,08/02/2017 10:50
31497,131,7,16,08/02/2017 10:56
37356,54,4,18,08/02/2017 10:56
43232,69,13,11,08/02/2017 10:56
32712,147,13,11,08/02/2017 11:00
1441,103,15,9,08/02/2017 11:12
98187,137,9,14,08/02/2017 11:18
26752,146,11,13,08/02/2017 11:26
55936,18,10,10,08/02/2017 11:36
38542,127,12,12,08/02/2017 11:38
29271,152,13,9,08/02/2017 11:40
28490,59,7,17,08/02/2017 11:44
10953,15,7,16,08/02/2017 11:52
46053,39,1,22,08/02/2017 12:04
67810,113,13,11,08/02/2017 12:10
44770,141,12,11,08/02/2017 12:20
13479,31,15,7,08/02/2017 12:26
30372,117,4,18,08/02/2017 12:28
8867,91,14,7,08/02/2017 12:34
37324,55,9,17,08/02/2017 12:48
10147,110,16,8,08/02/2017 12:50
35666,45,0,21,08/02/2017 12:54
76952,174,1,23,08/02/2017 12:54
93080,113,9,15,08/02/2017 12:58
456,22,8,11,08/02/2017 13:06
24989,81,3,19,08/02/2017 13:20
42338,123,8,15,08/02/2017 13:24
69079,84,17,5,08/02/2017 13:30
35190,158,6,16,08/02/2017 13:40
45034,57,5,17,08/02/2017 13:40
49484,169,11,12,08/02/2017 13:46
63849,78,10,14,08/02/2017 13:48
66516,118,12,12,08/02/2017 13:50
14155,87,9,15,08/02/2017 13:52
91097,155,5,10,08/02/2017 13:52
98988,17,2,17,08/02/2017 13:52
46037,173,11,12,08/02/2017 13:54
76070,84,18,4,08/02/2017 14:00
76606,28,11,13,08/02/2017 14:14
29464,166,12,10,08/02/2017 14:24
18065,17,1,19,08/02/2017 14:26
91674,101,14,13,08/02/2017 14:26
58069,90,2,22,08/02/2017 14:32
63383,127,10,14,08/02/2017 14:32
76108,16,9,10,08/02/2017 14:34
93864,54,6,16,08/02/2017 14:36
6224,62,0,0,08/02/2017 14:44
84960,93,16,8,08/02/2017 14:58
6586,51,6,17,08/02/2017 15:00
9215,39,0,23,08/02/2017 15:06
57116,19,0,24,08/02/2017 15:08
55473,77,7,16,08/02/2017 15:10
84289,132,9,15,08/02/2017 15:14
51194,145,17,6,08/02/2017 15:18
48463,66,1,23,08/02/2017 15:24
41419,72,9,10,08/02/2017 15:26
75782,50,1,23,08/02/2017 15:58
30587,92,2,21,08/02/2017 16:00
3158,18,8,11,08/02/2017 16:02
55573,28,12,12,08/02/2017 16:40
77813,118,13,11,08/02/2017 16:40
44029,12,9,14,08/02/2017 16:48
73142,128,14,10,08/02/2017 16:50
77555,107,15,9,08/02/2017 16:56
55074,141,11,13,08/02/2017 17:06
38893,91,9,12,08/02/2017 17:08
10792,33,0,0,08/02/2017 17:10
6589,136,1,22,08/02/2017 17:28
46595,163,7,15,08/02/2017 17:32
26138,12,11,12,08/02/2017 17:38
58094,79,8,15,08/02/2017 17:42
46932,129,14,9,08/02/2017 17:46
60651,103,13,9,08/02/2017 17:46
9472,104,10,12,08/02/2017 17:52
36638,42,3,18,08/02/2017 17:56
33021,172,3,21,08/02/2017 17:58
44155,60,13,9,08/02/2017 17:58
23176,164,11,12,08/02/2017 18:02
25231,8,9,9,08/02/2017 18:02
44700,84,7,16,08/02/2017 18:06
66168,49,10,10,08/02/2017 18:06
21208,174,8,16,08/02/2017 18:10
84983,10,11,11,08/02/2017 18:12
69464,149,14,10,08/02/2017 18:20
63710,49,12,8,08/02/2017 18:24
96180,128,1,21,08/02/2017 18:24
95803,125,13,10,08/02/2017 18:34
